order;redcap_variable
1;patid
2;redcap_repeat_instrument
3;redcap_event_name
4;redcap_repeat_instance
5;redcap_data_access_group
6;lims_tab_id
7;lims_laboratoire
8;lims_site1
9;lims_essaiclin
10;lims_essai_clinique
11;lims_id_participant
12;lims_age
13;lims_sexe
14;lims_date_reu_en_lab
15;lims_heure_reu_en_lab
16;lims_inspar
17;lims_mdft_sal0
18;lims_sal0_colda
19;lims_sal0_colti
20;lims_sal0_aliqu
21;lims_sal0_samca
22;lims_d2o_dose_saliva_h0
23;lims_mdft_sal3
24;lims_sal3_colda
25;lims_sal3_colti
26;lims_sal3_aliqu
27;lims_sal3_samcb
28;lims_sal4_sal4
29;lims_sal4_colda
30;lims_sal4_colti
31;lims_sal4_aliqu
32;lims_sal4_samcc
33;lims_mdft_sel
34;lims_sel_colse
35;lims_sel_colti
36;lims_sel_stoti
37;lims_sel_aliqu
38;lims_sel_samcd
39;lims_mdft_pl
40;lims_pl_colda
41;lims_pl_colti
42;lims_pl_centi
43;lims_pl_stoti
44;lims_pl_aliqu
45;lims_pl_samco
